0 -0.04884625 0.006208542 1 0.8512617
0.926722 0.8909814 0.8349676 0.814293 0
-0.00575004 1 0.8512988 1.016467 0.8890644
0 0.005818243 1 0.8518591 0.8330645
0.8138409 0 -0.1063136 -0.1193267 1
0.8831278 1.119646 0.9347138 0.9930745 0.8611602
0 -0.05381118 1 0.8833168 1.206681
0.9349961 0 -0.1193886 1 0.8838428
1.009431 0.8692496 0 -0.03393358 0.02480793
1 0.8501083 1.199586 1.043971 1.104929
0.8041519 0 -0.006467597 1 0.8476903
1.178287 1.003104 0 -0.02009041 1
0.8478133 1.015741 0.7711733 0 -0.07147756
-0.0544873 1 0.8699779 1.134598 0.9160373
0.9866849 0.8450871 0 0.02946582 1
0.8693312 1.19076 0.8867372 0 -0.05585832
1 0.8700618 0.9855914 0.8439386 0
-0.001196082 -0.04214246 1 0.8472593 1.042934
1.008758 1.092781 0.9742616 0 0.03755818
1 0.8482227 1.058585 0.9979281 0
-0.04291927 1 0.8471847 1.094189 1.025551
0 -0.004047922 -0.1526559 1 0.8767938
0.8099514 0.7710266 0.7676781 0.6999917 0
0.1021381 1 0.8776307 0.8701867 0.7968143
0 -0.1570626 1 0.8774381 0.7650895
0.7017931 0 -0.06015519 0.01298126 1
0.8679474 1.019082 0.9068789 0.961879 0.8096177
0 0.03792478 1 0.8667969 1.027418
0.872919 0 0.01283549 1 0.8684792
0.9592502 0.8086749 0 0.07253207 0.05282882
1 0.8773876 1.074332 0.8124917 1.000036
0.8014885 0 0.1599782 1 0.8752802
1.08507 0.7593871 0 0.05821795 1
0.8772494 1.002868 0.8041734 0 -0.005204381
-0.0720844 1 0.8264569 0.9483261 0.7338249
0.9763518 0.7607424 0 0.09629658 1
0.8283904 1.036795 0.7471082 0 -0.07018228
1 0.8256475 0.9720351 0.7587388 0
-0.05540602 -0.05540239 1 0.8701377 0.9322355
0.7809106 0.966649 0.8161816 0 0.03184165
1 0.8705821 1.015018 0.7867202 0
-0.05793472 1 0.8700548 0.9759356 0.822586
0 0.03247785 -0.02020546 1 0.8555459
0.8393666 0.8089645 0.9680593 0.8440621 0
0.1100874 1 0.854882 0.8831493 0.7882035
0 -0.02090405 1 0.8556043 0.9615329
0.843833 0 -0.167351 -0.02273299 1
0.8425918 0.8828933 0.7761107 1.193383 0.9715653
0 -0.1256853 1 0.8420575 0.8678518
0.763091 0 -0.02399568 1 0.8433416
1.186598 0.9692552 0 -0.03019319 -0.0937383
1 0.8469897 0.9203041 0.8485553 1.054045
0.9850338 0 0.0746308 1 0.846943
0.9446756 0.8258486 0 -0.09297298 1
